id,ux,uy,uz,magnitude
93683,0.2586973369,-0.8921101797,-0.3704255867,3.760000
42570,-0.4426886261,0.5246590582,-0.7271586161,3.770000
105881,0.7251707008,-0.5733889724,-0.3812512833,3.770000
101958,0.6169987382,-0.7376634545,0.2741626981,3.770000
41312,-0.2402508728,0.3254688559,-0.9145214825,3.770000
20455,0.3918541977,0.8692537637,0.3014103217,3.770000
82363,-0.1551418711,-0.4904643651,-0.8575404984,3.770000
109176,0.7961366188,-0.4276922032,0.4280722643,3.770000
17529,0.4085776302,0.6125978539,0.6766004652,3.770000
13268,0.4122404081,0.3800635689,0.8280154162,3.770000
48319,-0.4350737962,0.2745783109,0.8575065848,3.780000
36046,-0.3232126696,0.8234394188,0.4663486827,3.780000
34481,-0.0986477688,0.3189278175,-0.9426312455,3.780000
53253,-0.4956138712,0.1479886916,-0.8558424141,3.780000
102618,0.6589268619,-0.7338919490,-0.1649787800,3.780000
71795,-0.7410161763,-0.6281527260,0.2373166226,3.780000
14668,0.4800418079,0.5215956608,0.7053352602,3.790000
53229,-0.7921925197,0.2372374748,0.5622716356,3.790000
14879,0.5850821823,0.6502919319,-0.4845608767,3.800000
99675,0.3773203691,-0.5720628624,0.7282674101,3.800000
76276,-0.5820245604,-0.7923345045,0.1829028267,3.800000
37229,-0.3730786724,0.8108451884,-0.4509350116,3.800000
94779,0.1969708693,-0.5632056000,0.8024973076,3.800000
51232,-0.4775712236,0.2030165651,-0.8548157700,3.810000
116584,0.6856214913,-0.0673166361,0.7248390450,3.810000
76952,-0.5054064201,-0.7404783966,0.4430080075,3.810000
21393,0.3101625561,0.8032748875,-0.5084767880,3.810000
80883,-0.3787731974,-0.9248421205,0.0346109385,3.820000
86414,-0.0621530305,-0.6917921321,0.7194168797,3.820000
56211,-0.3502247363,0.0439321044,0.9356348670,3.820000
9487,0.8605210666,0.5071277185,0.0482179531,3.820000
45688,-0.6107752457,0.5177780122,0.5990488539,3.820000
72370,-0.1413047120,-0.1270762857,-0.9817762454,3.830000
68245,-0.6453426395,-0.3661225916,-0.6704380102,3.830000
51069,-0.8778938647,0.3813229403,-0.2896466425,3.830000
51624,-0.9162820542,0.3664353340,0.1617168612,3.840000
17448,0.4717497436,0.7015027045,0.5341779993,3.840000
17440,0.2377002352,0.3531296619,-0.9048745991,3.840000
88794,0.0288447200,-0.8761467932,0.4811806094,3.840000
61199,-0.3037354940,-0.0433127543,-0.9517713775,3.840000
97433,0.1535097916,-0.3007003480,0.9412831904,3.840000
51986,-0.6232917381,0.2352199582,-0.7457740814,3.840000
89341,0.0560101634,-0.9315295460,-0.3593265458,3.840000
43783,-0.3390705504,0.3540564940,-0.8715934608,3.840000
78072,-0.4942735892,-0.8263727778,0.2698178109,3.850000
19747,0.3300348170,0.6619716129,-0.6729566132,3.850000
91117,0.1514324066,-0.9780069045,-0.1434249666,3.850000
27321,0.0348469545,0.6274579864,-0.7778702752,3.850000
61281,-0.3418101411,-0.0502883911,0.9384225621,3.850000
90139,0.0958797197,-0.9237291432,0.3708524632,3.850000
50191,-0.6648450579,0.3288369259,-0.6707065865,3.850000
30277,-0.0803925970,0.8306133232,-0.5510159142,3.850000
79664,-0.1953036600,-0.3979521347,-0.8963763600,3.860000
81065,-0.0710159941,-0.1789887162,-0.9812847538,3.860000
4436,0.7587349974,0.1918433368,0.6225089059,3.860000
21594,0.3386422159,0.9078930773,-0.2470862395,3.860000
87808,-0.0130130182,-0.7958894490,0.6053021116,3.860000
110395,0.9090776572,-0.4159226877,-0.0242101456,3.860000
